e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
492,Sint-Jans-Molenbeek,SINT-JANS-MOLENBEEK,municipality,4.318959577,50.85443778,8,10,15,,sint-jans-molenbeek,gadm,shape,5,be,,,,876,,
493,Sint-Joost-ten-Node,SINT-JOOST-TEN-NODE,municipality,4.369245364,50.85331962,8,10,15,,sint-joost-ten-node,gadm,shape,5,be,,,,218,,
494,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,municipality,4.426823645,50.84766962,8,10,15,,sint-lambrechts-woluwe,gadm,shape,5,be,,,,970,,
495,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,municipality,4.435267991,50.83152438,7,10,15,,sint-pieters-woluwe,gadm,shape,5,be,,,,1194,,
496,Ukkel,UKKEL,municipality,4.356195526,50.79141045,7,10,15,,ukkel,gadm,shape,5,be,,,,3451,,
497,Vorst,VORST,municipality,4.321077756,50.81561241,8,10,15,,vorst,gadm,shape,5,be,,,,940,,
498,Watermaal-Bosvoorde,WATERMAAL-BOSVOORDE,municipality,4.417653089,50.79331272,7,10,15,,watermaal-bosvoorde,gadm,shape,5,be,,,,2160,,
499,Aartselaar,AARTSELAAR,municipality,4.37566433,51.13450986,7,10,15,,aartselaar,gadm,shape,5,be,,,,1853,,
500,Antwerpen,ANTWERPEN,municipality,4.370610647,51.26704638,6,10,15,,antwerpen-municipality,gadm,shape,5,be,,,,35774,,
501,Boechout,BOECHOUT,municipality,4.514461305,51.16682838,7,10,15,,boechout,gadm,shape,5,be,,,,3586,,
502,Boom,BOOM,municipality,4.3724448,51.09523444,8,10,15,,boom,gadm,shape,5,be,,,,947,,
503,Borsbeek,BORSBEEK,municipality,4.489862166,51.19197894,8,10,15,,borsbeek,gadm,shape,5,be,,,,699,,
504,Brasschaat,BRASSCHAAT,municipality,4.501749186,51.31341842,7,10,15,,brasschaat,gadm,shape,5,be,,,,5668,,
505,Brecht,BRECHT,municipality,4.628301863,51.33596815,7,10,15,,brecht,gadm,shape,5,be,,,,15265,,
506,Edegem,EDEGEM,municipality,4.424862114,51.15507627,7,10,15,,edegem,gadm,shape,5,be,,,,1474,,
507,Essen,ESSEN,municipality,4.468342642,51.45376787,7,10,15,,essen-be,gadm,shape,5,be,,,,6819,,
508,Hemiksem,HEMIKSEM,municipality,4.338824807,51.1446637,8,10,15,,hemiksem,gadm,shape,5,be,,,,492,,
509,Hove,HOVE,municipality,4.472974362,51.1481165,7,10,15,,hove,gadm,shape,5,be,,,,1264,,
510,Kalmthout,KALMTHOUT,municipality,4.469669061,51.40534372,7,10,15,,kalmthout,gadm,shape,5,be,,,,9978,,
511,Kapellen,KAPELLEN,municipality,4.440327282,51.34243422,7,10,15,,kapellen,gadm,shape,5,be,,,,5069,,
512,Kontich,KONTICH,municipality,4.435658847,51.12166571,7,10,15,,kontich,gadm,shape,5,be,,,,3146,,
513,Lint,LINT,municipality,4.488097337,51.12692149,7,10,15,,lint,gadm,shape,5,be,,,,1370,,
514,Malle,MALLE,municipality,4.724967155,51.29347542,7,10,15,,malle,gadm,shape,5,be,,,,8665,,
515,Mortsel,MORTSEL,municipality,4.452553869,51.17616851,7,10,15,,mortsel,gadm,shape,5,be,,,,1704,,
516,Niel,NIEL,municipality,4.342162795,51.10873514,8,10,15,,niel,gadm,shape,5,be,,,,911,,
517,Ranst,RANST,municipality,4.589740153,51.19331766,7,10,15,,ranst,gadm,shape,5,be,,,,7888,,
518,Rumst,RUMST,municipality,4.418329191,51.09825409,7,10,15,,rumst,gadm,shape,5,be,,,,2815,,
519,Schelle,SCHELLE,municipality,4.33362676,51.12620199,8,10,15,,schelle,gadm,shape,5,be,,,,879,,
520,Schilde,SCHILDE,municipality,4.584644359,51.25666606,7,10,15,,schilde,gadm,shape,5,be,,,,6015,,
521,Schoten,SCHOTEN,municipality,4.512476841,51.26840465,7,10,15,,schoten,gadm,shape,5,be,,,,4552,,
522,Stabroek,STABROEK,municipality,4.371498575,51.3347288,7,10,15,,stabroek,gadm,shape,5,be,,,,3309,,
523,Wijnegem,WIJNEGEM,municipality,4.521021102,51.23141635,7,10,15,,wijnegem,gadm,shape,5,be,,,,1760,,
524,Wommelgem,WOMMELGEM,municipality,4.514071164,51.20903252,7,10,15,,wommelgem,gadm,shape,5,be,,,,1329,,
525,Wuustwezel,WUUSTWEZEL,municipality,4.60609078,51.3948964,7,10,15,,wuustwezel,gadm,shape,5,be,,,,14667,,
526,Zandhoven,ZANDHOVEN,municipality,4.685176525,51.21111747,7,10,15,,zandhoven,gadm,shape,5,be,,,,7128,,
527,Zoersel,ZOERSEL,municipality,4.673665568,51.25888985,7,10,15,,zoersel,gadm,shape,5,be,,,,6035,,
528,Zwijndrecht,ZWIJNDRECHT,municipality,4.325406041,51.22941707,7,10,15,,zwijndrecht-be,gadm,shape,5,be,,,,2804,,
529,Berlaar,BERLAAR,municipality,4.65344477,51.11173623,7,10,15,,berlaar,gadm,shape,5,be,,,,3746,,
530,Bonheiden,BONHEIDEN,municipality,4.565795715,51.02229467,7,10,15,,bonheiden,gadm,shape,5,be,,,,5359,,
531,Zeeland,ZEELAND,province,3.835448283,51.45192738,4,8,9,NL.ZE,zeeland,gadm,shape,2,nl,,,,289348,,
532,Bornem,BORNEM,municipality,4.244454475,51.09889925,7,10,15,,bornem,gadm,shape,5,be,,,,8114,,
533,Zeeuwse meren,ZEEUWSE MEREN,lake,4.072317331,51.63949787,4,8,9,,zeeuwse-meren,gadm,shape,2,nl,,,,111768,,
534,Duffel,DUFFEL,municipality,4.511260299,51.09689964,7,10,15,,duffel,gadm,shape,5,be,,,,3001,,
535,Heist-op-den-Berg,HEIST-OP-DEN-BERG,municipality,4.735147861,51.07233538,7,10,15,,heist-op-den-berg,gadm,shape,5,be,,,,13078,,
536,Lier,LIER,municipality,4.572028953,51.11700482,7,10,15,,lier,gadm,shape,5,be,,,,8177,,
537,Mechelen,MECHELEN,municipality,4.43670366,51.03496598,7,10,15,,mechelen-municipality,gadm,shape,5,be,,,,9304,,
538,Nijlen,NIJLEN,municipality,4.669386128,51.1518821,7,10,15,,nijlen,gadm,shape,5,be,,,,6256,,
539,Putte,PUTTE,municipality,4.637181681,51.05551096,7,10,15,,putte,gadm,shape,5,be,,,,5613,,
540,Puurs,PUURS,municipality,4.307612431,51.06833829,7,10,15,,puurs,gadm,shape,5,be,,,,4231,,
541,Sint-Amands,SINT-AMANDS,municipality,4.235391839,51.05813655,7,10,15,,sint-amands,gadm,shape,5,be,,,,2721,,
542,Sint-Katelijne-Waver,SINT-KATELIJNE-WAVER,municipality,4.529283458,51.06395537,7,10,15,,sint-katelijne-waver,gadm,shape,5,be,,,,5915,,
543,Willebroek,WILLEBROEK,municipality,4.366962146,51.06198699,7,10,15,,willebroek,gadm,shape,5,be,,,,3943,,
544,Arendonk,ARENDONK,municipality,5.090812567,51.33673025,7,10,15,,arendonk,gadm,shape,5,be,,,,7623,,
545,Baarle-Hertog,BAARLE-HERTOG,municipality,4.92633427,51.42448679,7,10,15,,baarle-hertog,gadm,shape,5,be,,,,1271,,
546,Balen,BALEN,municipality,5.195192972,51.16081996,7,10,15,,balen,gadm,shape,5,be,,,,10278,,
547,Beerse,BEERSE,municipality,4.835039691,51.31866029,7,10,15,,beerse,gadm,shape,5,be,,,,5697,,
548,Dessel,DESSEL,municipality,5.132051058,51.24188179,7,10,15,,dessel,gadm,shape,5,be,,,,3995,,
549,Geel,GEEL,municipality,4.990360678,51.16727562,7,10,15,,geel,gadm,shape,5,be,,,,18828,,
550,Grobbendonk,GROBBENDONK,municipality,4.748489262,51.18198831,7,10,15,,grobbendonk,gadm,shape,5,be,,,,4078,,
551,Herentals,HERENTALS,municipality,4.832985376,51.16479658,7,10,15,,herentals,gadm,shape,5,be,,,,9165,,
552,Herenthout,HERENTHOUT,municipality,4.757207831,51.13875511,7,10,15,,herenthout,gadm,shape,5,be,,,,4142,,
553,Zuid-Holland,ZUID-HOLLAND,province,4.505204607,51.94892402,4,8,9,NL.ZH,zuid-holland,gadm,shape,2,nl,,,,493988,,
554,Herselt,HERSELT,municipality,4.888242651,51.05312983,7,10,15,,herselt,gadm,shape,5,be,,,,7437,,
555,Hoogstraten,HOOGSTRATEN,municipality,4.769156554,51.44103283,7,10,15,,hoogstraten,gadm,shape,5,be,,,,16048,,
556,Hulshout,HULSHOUT,municipality,4.8140814,51.06348093,7,10,15,,hulshout,gadm,shape,5,be,,,,2935,,
557,Kasterlee,KASTERLEE,municipality,4.948731828,51.24721174,7,10,15,,kasterlee,gadm,shape,5,be,,,,12054,,
558,Laakdal,LAAKDAL,municipality,5.016974416,51.08205186,7,10,15,,laakdal,gadm,shape,5,be,,,,6784,,
559,Lille,LILLE,municipality,4.840773556,51.2589345,7,10,15,,lille-municipality,gadm,shape,5,be,,,,9746,,
560,Meerhout,MEERHOUT,municipality,5.08220947,51.12825429,7,10,15,,meerhout,gadm,shape,5,be,,,,6417,,
561,Merksplas,MERKSPLAS,municipality,4.876565996,51.37382698,7,10,15,,merksplas,gadm,shape,5,be,,,,6191,,
562,Mol,MOL,municipality,5.162799598,51.23419028,7,10,15,,mol,gadm,shape,5,be,,,,18474,,
563,Olen,OLEN,municipality,4.891363187,51.16408144,7,10,15,,olen,gadm,shape,5,be,,,,3465,,
564,Oud-Turnhout,OUD-TURNHOUT,municipality,5.014777793,51.32156128,7,10,15,,oud-turnhout,gadm,shape,5,be,,,,6303,,
565,Ravels,RAVELS,municipality,5.032757736,51.41495398,7,10,15,,ravels,gadm,shape,5,be,,,,13373,,
566,Retie,RETIE,municipality,5.089444499,51.26898787,7,10,15,,retie,gadm,shape,5,be,,,,8363,,
567,Rijkevorsel,RIJKEVORSEL,municipality,4.776962143,51.35691157,7,10,15,,rijkevorsel,gadm,shape,5,be,,,,8094,,
568,Turnhout,TURNHOUT,municipality,4.950405816,51.33700644,7,10,15,,turnhout-municipality,gadm,shape,5,be,,,,9553,,
569,Vorselaar,VORSELAAR,municipality,4.776315103,51.21981341,7,10,15,,vorselaar,gadm,shape,5,be,,,,3716,,
570,Vosselaar,VOSSELAAR,municipality,4.898749363,51.31098046,7,10,15,,vosselaar,gadm,shape,5,be,,,,1870,,
571,Westerlo,WESTERLO,municipality,4.885065944,51.10768604,7,10,15,,westerlo,gadm,shape,5,be,,,,7899,,
572,Mesen,MESEN,municipality,2.896416194,50.76010135,8,10,15,,mesen,gadm,shape,5,be,,,,684,,
573,Avelgem,AVELGEM,municipality,3.454167595,50.77307286,7,10,15,,avelgem,gadm,shape,5,be,,,,4289,,
574,As,AS,municipality,5.58888319,51.00916868,7,10,15,,as,gadm,shape,5,be,,,,4546,,
575,Beringen,BERINGEN,municipality,5.242426078,51.06918107,7,10,15,,beringen,gadm,shape,5,be,,,,11370,,
576,Diepenbeek,DIEPENBEEK,municipality,5.410968723,50.90726125,7,10,15,,diepenbeek,gadm,shape,5,be,,,,7745,,
577,Genk,GENK,municipality,5.488660631,50.9677549,7,10,15,,genk,gadm,shape,5,be,,,,15561,,
578,Halen,HALEN,municipality,5.092362626,50.95343927,7,10,15,,halen,gadm,shape,5,be,,,,4198,,
579,Ham,HAM,municipality,5.154278539,51.10128555,7,10,15,,ham,gadm,shape,5,be,,,,3713,,
580,Hasselt,HASSELT,municipality,5.297138422,50.93515802,7,10,15,,hasselt-municipality,gadm,shape,5,be,,,,16556,,
581,Herk-de-Stad,HERK-DE-STAD,municipality,5.164442049,50.93590272,7,10,15,,herk-de-stad,gadm,shape,5,be,,,,7587,,
582,Heusden-Zolder,HEUSDEN-ZOLDER,municipality,5.286803484,51.01905363,7,10,15,,heusden-zolder,gadm,shape,5,be,,,,7643,,
583,Leopoldsburg,LEOPOLDSBURG,municipality,5.242211762,51.11928791,7,10,15,,leopoldsburg,gadm,shape,5,be,,,,3990,,
584,Lummen,LUMMEN,municipality,5.183191982,50.99880016,7,10,15,,lummen,gadm,shape,5,be,,,,8563,,
585,Nieuwerkerken,NIEUWERKERKEN,municipality,5.205136104,50.87991194,7,10,15,,nieuwerkerken,gadm,shape,5,be,,,,3161,,
586,Opglabbeek,OPGLABBEEK,municipality,5.580066632,51.04565024,7,10,15,,opglabbeek,gadm,shape,5,be,,,,3733,,
587,Sint-Truiden,SINT-TRUIDEN,municipality,5.199029078,50.80735941,7,10,15,,sint-truiden,gadm,shape,5,be,,,,15988,,
588,Tessenderlo,TESSENDERLO,municipality,5.083288154,51.05912271,7,10,15,,tessenderlo,gadm,shape,5,be,,,,8482,,
589,Zonhoven,ZONHOVEN,municipality,5.375460582,50.99168933,7,10,15,,zonhoven,gadm,shape,5,be,,,,6213,,
590,Zutendaal,ZUTENDAAL,municipality,5.571871848,50.92914305,7,10,15,,zutendaal,gadm,shape,5,be,,,,4865,,
591,Bocholt,BOCHOLT,municipality,5.568494072,51.18836373,7,10,15,,bocholt,gadm,shape,5,be,,,,9545,,
592,Bree,BREE,municipality,5.639240798,51.14489249,7,10,15,,bree,gadm,shape,5,be,,,,9915,,
593,Dilsen-Stokkem,DILSEN-STOKKEM,municipality,5.719375112,51.0348591,7,10,15,,dilsen-stokkem,gadm,shape,5,be,,,,9896,,
594,Hamont-Achel,HAMONT-ACHEL,municipality,5.509075433,51.2600408,7,10,15,,hamont-achel,gadm,shape,5,be,,,,5978,,
595,Hechtel-Eksel,HECHTEL-EKSEL,municipality,5.343949767,51.14249838,7,10,15,,hechtel-eksel,gadm,shape,5,be,,,,12197,,
596,Houthalen-Helchteren,HOUTHALEN-HELCHTEREN,municipality,5.40105945,51.04900533,7,10,15,,houthalen-helchteren,gadm,shape,5,be,,,,13594,,
597,Kinrooi,KINROOI,municipality,5.769644159,51.1522047,7,10,15,,kinrooi,gadm,shape,5,be,,,,8787,,
598,Lommel,LOMMEL,municipality,5.305299135,51.22835985,7,10,15,,lommel,gadm,shape,5,be,,,,14022,,
599,Maaseik,MAASEIK,municipality,5.714613155,51.08754557,7,10,15,,maaseik-municipality,gadm,shape,5,be,,,,12975,,
600,Meeuwen-Gruitrode,MEEUWEN-GRUITRODE,municipality,5.554124642,51.08552889,7,10,15,,meeuwen-gruitrode,gadm,shape,5,be,,,,14535,,
601,Neerpelt,NEERPELT,municipality,5.46246703,51.23023681,7,10,15,,neerpelt,gadm,shape,5,be,,,,6855,,
602,Overpelt,OVERPELT,municipality,5.393974053,51.20469884,7,10,15,,overpelt,gadm,shape,5,be,,,,6785,,
603,Peer,PEER,municipality,5.463434602,51.13034624,7,10,15,,peer,gadm,shape,5,be,,,,14789,,
604,Alken,ALKEN,municipality,5.282970907,50.87591055,7,10,15,,alken,gadm,shape,5,be,,,,4001,,
605,Bilzen,BILZEN,municipality,5.531469001,50.86772746,7,10,15,,bilzen,gadm,shape,5,be,,,,12653,,
606,Borgloon,BORGLOON,municipality,5.334619292,50.80369491,7,10,15,,borgloon,gadm,shape,5,be,,,,8199,,
607,Heers,HEERS,municipality,5.309607515,50.75091479,7,10,15,,heers,gadm,shape,5,be,,,,8968,,
608,Herstappe,HERSTAPPE,municipality,5.425494677,50.72559722,8,10,15,,herstappe,gadm,shape,5,be,,,,673,,
609,Hoeselt,HOESELT,municipality,5.470334234,50.84226424,7,10,15,,hoeselt,gadm,shape,5,be,,,,3998,,
610,Kortessem,KORTESSEM,municipality,5.405719337,50.8468621,7,10,15,,kortessem,gadm,shape,5,be,,,,5595,,
611,Lanaken,LANAKEN,municipality,5.640033467,50.89280253,7,10,15,,lanaken,gadm,shape,5,be,,,,9491,,
612,Maasmechelen,MAASMECHELEN,municipality,5.676126756,50.96488845,7,10,15,,maasmechelen,gadm,shape,5,be,,,,13438,,
613,Riemst,RIEMST,municipality,5.600922552,50.80113097,7,10,15,,riemst,gadm,shape,5,be,,,,9508,,
614,Tongeren,TONGEREN,municipality,5.468499871,50.77029564,7,10,15,,tongeren-municipality,gadm,shape,5,be,,,,14415,,
615,Voeren,VOEREN,municipality,5.808314617,50.74633963,7,10,15,,voeren,gadm,shape,5,be,,,,9461,,
616,Bruxelles,BRUXELLES,province,4.367414852,50.83642582,7,8,9,BE.BU,bruxelles-province,gadm,shape,3,be,,,,24716,,
617,Wellen,WELLEN,municipality,5.317461131,50.84113383,7,10,15,,wellen,gadm,shape,5,be,,,,4725,,
618,Antwerpen,ANTWERPEN,province,4.721043791,51.23190072,4,8,9,BE.AN,antwerpen-province,gadm,shape,3,be,,,,457124,,
619,Aalst,AALST,municipality,4.07408656,50.94720553,7,10,15,,aalst-municipality,gadm,shape,5,be,,,,12261,,
620,Hainaut,HAINAUT,province,3.377458088,50.77128884,7,8,9,BE.HT,hainaut-province-be,gadm,shape,3,be,,,,4973,,
621,Denderleeuw,DENDERLEEUW,municipality,4.062636108,50.88862067,7,10,15,,denderleeuw,gadm,shape,5,be,,,,2037,,
622,Limburg,LIMBURG,province,5.441058288,50.99335087,4,8,9,BE.LI,limburg-province-be,gadm,shape,3,be,,,,378911,,
623,Erpe-Mere,ERPE-MERE,municipality,3.956848036,50.92162514,7,10,15,,erpe-mere,gadm,shape,5,be,,,,5350,,
624,Oost-Vlaanderen,OOST-VLAANDEREN,province,3.818860581,51.03629348,4,8,9,BE.OV,oost-vlaanderen,gadm,shape,3,be,,,,475322,,
625,Geraardsbergen,GERAARDSBERGEN,municipality,3.906942303,50.77789253,7,10,15,,geraardsbergen,gadm,shape,5,be,,,,11088,,
626,Vlaams Brabant,VLAAMS BRABANT,province,4.590720736,50.87303943,4,8,9,BE.VB,vlaams-brabant,gadm,shape,3,be,,,,348932,,
627,Haaltert,HAALTERT,municipality,3.999280926,50.8845376,7,10,15,,haaltert,gadm,shape,5,be,,,,5054,,
628,West-Vlaanderen,WEST-VLAANDEREN,province,3.057753664,51.01366005,4,8,9,BE.WV,west-vlaanderen-province-be,gadm,shape,3,be,,,,501307,,
629,Herzele,HERZELE,municipality,3.898519702,50.86795607,7,10,15,,herzele,gadm,shape,5,be,,,,8145,,
630,Brabant Wallon,BRABANT WALLON,province,4.589736973,50.66605965,4,8,9,BE.BW,brabant-wallon,gadm,shape,3,be,,,,174215,,
631,Lede,LEDE,municipality,3.962672652,50.96966466,7,10,15,,lede,gadm,shape,5,be,,,,4889,,
632,Hainaut,HAINAUT,province,3.968136502,50.46387596,4,8,9,BE.HT,hainaut-province-be,gadm,shape,3,be,,,,601034,,
633,Ninove,NINOVE,municipality,4.012162125,50.825582,7,10,15,,ninove,gadm,shape,5,be,,,,11739,,
634,Luik,LUIK,province,5.734845497,50.51917287,4,8,9,BE.LG,luik,gadm,shape,3,be,,,,600577,,
635,Sint-Lievens-Houtem,SINT-LIEVENS-HOUTEM,municipality,3.881727558,50.93327935,7,10,15,,sint-lievens-houtem,gadm,shape,5,be,,,,4720,,
636,Limburg,LIMBURG,province,5.169824232,50.73722938,7,8,9,BE.LI,limburg-province-be,gadm,shape,3,be,,,,7605,,
637,Zottegem,ZOTTEGEM,municipality,3.807208574,50.86587605,7,10,15,,zottegem,gadm,shape,5,be,,,,10632,,
638,Berlare,BERLARE,municipality,3.980200223,51.0394489,7,10,15,,berlare,gadm,shape,5,be,,,,6673,,
639,Buggenhout,BUGGENHOUT,municipality,4.203755535,51.01537567,7,10,15,,buggenhout,gadm,shape,5,be,,,,4005,,
640,West-Vlaanderen,WEST-VLAANDEREN,province,3.36030327,50.72940778,7,8,9,BE.WV,west-vlaanderen-province-be,gadm,shape,3,be,,,,1951,,
641,Dendermonde,DENDERMONDE,municipality,4.093713008,51.03069249,7,10,15,,dendermonde-municipality,gadm,shape,5,be,,,,8776,,
642,Hamme,HAMME,municipality,4.137677879,51.08239693,7,10,15,,hamme,gadm,shape,5,be,,,,6842,,
643,Laarne,LAARNE,municipality,3.886797195,51.04253045,7,10,15,,laarne,gadm,shape,5,be,,,,4433,,
644,Lebbeke,LEBBEKE,municipality,4.123665868,50.99628045,7,10,15,,lebbeke,gadm,shape,5,be,,,,4364,,
645,Waasmunster,WAASMUNSTER,municipality,4.072554599,51.12137379,7,10,15,,waasmunster,gadm,shape,5,be,,,,5099,,
646,Wetteren,WETTEREN,municipality,3.877057992,50.99412816,7,10,15,,wetteren,gadm,shape,5,be,,,,5670,,
647,Wichelen,WICHELEN,municipality,3.954432318,51.00126432,7,10,15,,wichelen,gadm,shape,5,be,,,,3392,,
648,Zele,ZELE,municipality,4.036909163,51.06919525,7,10,15,,zele,gadm,shape,5,be,,,,4915,,
649,Assenede,ASSENEDE,municipality,3.716490054,51.22744955,7,10,15,,assenede,gadm,shape,5,be,,,,14276,,
650,Eeklo,EEKLO,municipality,3.558263211,51.19354065,7,10,15,,eeklo-municipality,gadm,shape,5,be,,,,5401,,
651,Kaprijke,KAPRIJKE,municipality,3.626962355,51.20780942,7,10,15,,kaprijke,gadm,shape,5,be,,,,5899,,
652,Maldegem,MALDEGEM,municipality,3.451153587,51.19975802,7,10,15,,maldegem,gadm,shape,5,be,,,,13848,,
653,Sint-Laureins,SINT-LAUREINS,municipality,3.580831806,51.26195303,7,10,15,,sint-laureins,gadm,shape,5,be,,,,13076,,
654,Zelzate,ZELZATE,municipality,3.807557211,51.19846502,7,10,15,,zelzate,gadm,shape,5,be,,,,2045,,
655,Aalter,AALTER,municipality,3.450247119,51.08016565,7,10,15,,aalter,gadm,shape,5,be,,,,12364,,
656,De Pinte,DE PINTE,municipality,3.672985215,50.99110397,7,10,15,,de-pinte,gadm,shape,5,be,,,,3424,,
657,Deinze,DEINZE,municipality,3.520194215,50.99184638,7,10,15,,deinze,gadm,shape,5,be,,,,11454,,
658,Destelbergen,DESTELBERGEN,municipality,3.812308072,51.04331828,7,10,15,,destelbergen,gadm,shape,5,be,,,,4749,,
659,Evergem,EVERGEM,municipality,3.70836216,51.14426588,7,10,15,,evergem,gadm,shape,5,be,,,,10455,,
660,Gavere,GAVERE,municipality,3.692755977,50.93139454,7,10,15,,gavere,gadm,shape,5,be,,,,5813,,
661,Gent,GENT,municipality,3.728547449,51.08111069,7,10,15,,gent-municipality,gadm,shape,5,be,,,,24890,,
662,Knesselare,KNESSELARE,municipality,3.454895561,51.13463644,7,10,15,,knesselare,gadm,shape,5,be,,,,5672,,
663,Lochristi,LOCHRISTI,municipality,3.859913767,51.10235718,7,10,15,,lochristi,gadm,shape,5,be,,,,9800,,
664,Lovendegem,LOVENDEGEM,municipality,3.627215519,51.10122898,7,10,15,,lovendegem,gadm,shape,5,be,,,,2484,,
665,Melle,MELLE,municipality,3.802795671,50.99773359,7,10,15,,melle,gadm,shape,5,be,,,,2364,,
666,Merelbeke,MERELBEKE,municipality,3.744976445,50.97899943,7,10,15,,merelbeke,gadm,shape,5,be,,,,6254,,
667,Moerbeke,MOERBEKE,municipality,3.94646441,51.1812714,7,10,15,,moerbeke,gadm,shape,5,be,,,,5620,,
668,Nazareth,NAZARETH,municipality,3.609238207,50.95827731,7,10,15,,nazareth,gadm,shape,5,be,,,,6506,,
669,Nevele,NEVELE,municipality,3.555734882,51.05891682,7,10,15,,nevele,gadm,shape,5,be,,,,8088,,
670,Oosterzele,OOSTERZELE,municipality,3.804035682,50.94098873,7,10,15,,oosterzele,gadm,shape,5,be,,,,6980,,
671,Sint-Martens-Latem,SINT-MARTENS-LATEM,municipality,3.624288201,51.01296567,7,10,15,,sint-martens-latem,gadm,shape,5,be,,,,2048,,
672,Waarschoot,WAARSCHOOT,municipality,3.614486387,51.14827003,7,10,15,,waarschoot,gadm,shape,5,be,,,,3819,,
673,Wachtebeke,WACHTEBEKE,municipality,3.874060722,51.17866621,7,10,15,,wachtebeke,gadm,shape,5,be,,,,4980,,
674,Zomergem,ZOMERGEM,municipality,3.557265208,51.12662817,7,10,15,,zomergem,gadm,shape,5,be,,,,6347,,
675,Zulte,ZULTE,municipality,3.480101216,50.94123846,7,10,15,,zulte,gadm,shape,5,be,,,,4550,,
676,Brakel,BRAKEL,municipality,3.765058706,50.79033306,7,10,15,,brakel,gadm,shape,5,be,,,,9059,,
677,Horebeke,HOREBEKE,municipality,3.699679592,50.82238902,7,10,15,,horebeke,gadm,shape,5,be,,,,2413,,
678,Kluisbergen,KLUISBERGEN,municipality,3.536292576,50.77615581,7,10,15,,kluisbergen,gadm,shape,5,be,,,,4845,,
679,Kruishoutem,KRUISHOUTEM,municipality,3.5323117,50.90500159,7,10,15,,kruishoutem,gadm,shape,5,be,,,,8383,,
680,Lierde,LIERDE,municipality,3.847236109,50.80050948,7,10,15,,lierde,gadm,shape,5,be,,,,4432,,
681,Maarkedal,MAARKEDAL,municipality,3.646549582,50.79091598,7,10,15,,maarkedal,gadm,shape,5,be,,,,7354,,
682,Oudenaarde,OUDENAARDE,municipality,3.623187231,50.84693653,7,10,15,,oudenaarde-municipality,gadm,shape,5,be,,,,11151,,
683,Ronse,RONSE,municipality,3.616863452,50.7460969,7,10,15,,ronse,gadm,shape,5,be,,,,4477,,
684,Wortegem-Petegem,WORTEGEM-PETEGEM,municipality,3.53253141,50.84382051,7,10,15,,wortegem-petegem,gadm,shape,5,be,,,,5374,,
685,Zingem,ZINGEM,municipality,3.623760564,50.9042423,7,10,15,,zingem,gadm,shape,5,be,,,,4424,,
686,Zwalm,ZWALM,municipality,3.723647251,50.87603775,7,10,15,,zwalm,gadm,shape,5,be,,,,5330,,
687,Beveren,BEVEREN,municipality,4.231909982,51.2580426,7,10,15,,beveren,gadm,shape,5,be,,,,22308,,
688,Kruibeke,KRUIBEKE,municipality,4.291067572,51.16717867,7,10,15,,kruibeke,gadm,shape,5,be,,,,6389,,
689,Lokeren,LOKEREN,municipality,3.961087532,51.11607031,7,10,15,,lokeren,gadm,shape,5,be,,,,10803,,
690,Saint-Nicolas,SAINT-NICOLAS,municipality,4.109245235,51.16784583,7,10,15,,saint-nicolas,gadm,shape,5,be,,,,12942,,
691,Sint-Gillis-Waas,SINT-GILLIS-WAAS,municipality,4.11760219,51.23155481,7,10,15,,sint-gillis-waas,gadm,shape,5,be,,,,8821,,
692,Stekene,STEKENE,municipality,4.027840486,51.2143836,7,10,15,,stekene,gadm,shape,5,be,,,,7116,,
693,Temse,TEMSE,municipality,4.206603725,51.13918641,7,10,15,,temse,gadm,shape,5,be,,,,6411,,
694,Affligem,AFFLIGEM,municipality,4.1158966,50.90565719,7,10,15,,affligem,gadm,shape,5,be,,,,3328,,
695,Asse,ASSE,municipality,4.219384897,50.90760075,7,10,15,,asse,gadm,shape,5,be,,,,8094,,
696,Beersel,BEERSEL,municipality,4.303343756,50.74926528,7,10,15,,beersel,gadm,shape,5,be,,,,4027,,
697,Weser-Ems,WESER-EMS,province,7.780972446,52.94223453,2,8,9,,weser-ems,gadm,shape,3,de,,,,2457456,,
698,Bever,BEVER,municipality,3.927538985,50.70933967,7,10,15,,bever,gadm,shape,5,be,,,,4656,,
699,Arnsberg,ARNSBERG,province,8.015640727,51.3137339,4,8,9,,arnsberg,gadm,shape,3,de,,,,1288764,,
700,Dilbeek,DILBEEK,municipality,4.230172447,50.85387323,7,10,15,,dilbeek,gadm,shape,5,be,,,,7224,,
701,Drogenbos,DROGENBOS,municipality,4.294247632,50.79198364,7,10,15,,drogenbos,gadm,shape,5,be,,,,1175,,
702,Dusseldorf,DUSSELDORF,district,6.601807675,51.43101288,4,8,9,DE.NW.DS,dusseldorf,gadm,shape,3,de,,,,847631,,
703,Galmaarden,GALMAARDEN,municipality,3.988711584,50.7513106,7,10,15,,galmaarden,gadm,shape,5,be,,,,6556,,
704,Keulen,KEULEN,district,6.808947262,50.82080589,4,8,9,DE.NW.KO,keulen,gadm,shape,3,de,,,,1176973,,
705,Gooik,GOOIK,municipality,4.100353604,50.78165735,7,10,15,,gooik,gadm,shape,5,be,,,,6190,,
